Balance of Payments by Indicator (BPM6),,,,,,,,,,,
Percent of GDP,,,,,,,,,,,
,,,,,,,,,,,
,2009,2010,2011,2012,2013,2014,2015,2016,,,
Kosovo,52.39,55.27,58.00,53.79,49.64,51.13,50.34,...,,,
"Macedonia, FYR",54.59,58.08,66.08,66.93,61.62,64.95,65.03,65.15,,,
Montenegro,...,61.90,63.94,66.23,61.43,59.97,61.01,...,,,
Poland,39.20,43.08,45.97,45.94,45.02,46.15,46.41,48.41,,,
Romania,33.93,38.38,42.44,42.33,40.54,41.61,41.71,42.32,,,
"Serbia, Republic of",42.87,47.80,49.35,53.62,51.92,54.33,56.41,58.31,,,
Turkey,23.51,25.52,30.33,28.41,28.01,27.58,25.92,24.86,,,
CIS,...,...,...,...,...,...,...,...,,,
Armenia,45.39,49.00,48.49,51.53,49.24,47.27,41.87,42.72,,,
"Azerbaijan, Republic of",22.10,19.35,23.82,24.96,26.28,26.21,34.77,43.67,,,
Belarus,60.80,66.64,79.93,77.11,63.46,57.54,59.87,63.27,,,
Georgia,48.74,52.53,55.34,57.63,57.36,60.66,61.86,59.19,,,
Kazakhstan,35.05,31.17,27.91,30.76,27.71,26.08,25.34,29.80,,,
Kyrgyz Republic,75.90,77.93,78.42,97.19,90.52,86.37,73.76,72.42,,,
Moldova,68.16,72.41,79.34,77.80,75.44,73.64,68.75,66.13,,,
Russia,19.87,20.86,20.18,20.48,20.97,20.78,20.57,21.13,,,
Tajikistan,61.50,58.56,63.34,65.55,60.24,44.86,42.26,51.09,,,
Turkmenistan,...,...,...,...,...,...,...,...,,,
Ukraine,44.46,51.18,57.49,57.38,53.11,52.46,54.45,55.19,,,
Uzbekistan,...,...,...,...,...,...,...,...,,,
"Middle East,N.Africa & Pakistan",...,...,...,...,...,...,...,...,,,
"Afghanistan, Islamic Rep. of",34.54,37.67,40.44,48.05,44.02,40.29,41.58,36.36,,,
Algeria,35.73,31.42,29.69,29.84,31.31,33.32,38.12,37.85,,,
"Bahrain, Kingdom of",49.50,50.93,48.25,47.87,46.76,44.74,...,...,,,
Djibouti,54.97,...,...,...,...,...,...,...,,,
